"siteID","sampleID","dayOfYear","dateSet","dateSample","dateTimeSet","dateTimeSample","crew","gear","sampleGroup","effort","effortUnits","distanceShocked","useCPUE","useSampleMarkRecap","comments","metadataID","entryFile"
"AQ_wholeShoreline","AQ_wholeShoreline_20190625_1610_AN_Fishscapes.Angling.20180625",176,"2019-06-25","2019-06-25","6/25/2019 14:30:00","6/25/2019 16:10:00","JC,CI,ALK","AN","2019_fishscapes_survey",1.67,"angler_hours","0","yes","yes","windy and partly cloudy","Fishscapes.Angling.20180625","fishScapes2019_AQ_2019-06-25_1610.csv"
"AQ_wholeShoreline","AQ_wholeShoreline_20190625_2110_AN_Fishscapes.Angling.20180625",176,"2019-06-25","2019-06-25","6/25/2019 16:36:00","6/25/2019 21:10:00","JC, DS, ALK","AN","2019_fishscapes_survey",3.4,"angler_hours","0","yes","yes",NA,"Fishscapes.Angling.20180625","fishScapes2019_AQ_2019-06-25_2110.csv"
"BOT_wholeShoreline","BOT_wholeShoreline_20190530_1453_AN_Fishscapes.Angling.20180625",150,"2019-05-30","2019-05-30","5/30/2019 14:02:00","5/30/2019 14:53:00","MS","AN","2019_fishscapes_survey",0.85,"angler_hours","0","yes","yes",NA,"Fishscapes.Angling.20180625","fishScapes2019_BOT_2019-05-30_1453.csv"
"BOT_wholeShoreline","BOT_wholeShoreline_20190530_1538_AN_Fishscapes.Angling.20180625",150,"2019-05-30","2019-05-30","5/30/2019 14:02:00","5/30/2019 15:38:00","AK","AN","2019_fishscapes_survey",1.6,"angler_hours","0","yes","yes",NA,"Fishscapes.Angling.20180625","fishScapes2019_BOT_2019-05-30_1538.csv"
"BOT_wholeShoreline","BOT_wholeShoreline_20190530_1608_AN_Fishscapes.Angling.20180625",150,"2019-05-30","2019-05-30","5/30/2019 14:02:00","5/30/2019 16:08:00","FF","AN","2019_fishscapes_survey",2.1,"angler_hours","0","yes","yes",NA,"Fishscapes.Angling.20180625","fishScapes2019_BOT_2019-05-30_1608.csv"
"BOT_wholeShoreline","BOT_wholeShoreline_20190530_1630_AN_Fishscapes.Angling.20180625",150,"2019-05-30","2019-05-30","5/30/2019 15:30:00","5/30/2019 16:30:00","JP,AT","AN","2019_fishscapes_survey",1,"angler_hours","0","yes","yes",NA,"Fishscapes.Angling.20180625","fishScapes2019_BOT_2019-05-30_1630.csv"
"BOT_wholeShoreline","BOT_wholeShoreline_20190530_1808_AN_Fishscapes.Angling.20180625",150,"2019-05-30","2019-05-30","5/30/2019 16:30:00","5/30/2019 18:08:00","AK","AN","2019_fishscapes_survey",1.63,"angler_hours","0","yes","yes",NA,"Fishscapes.Angling.20180625","fishScapes2019_BOT_2019-05-30_1808.csv"
"BOT_wholeShoreline","BOT_wholeShoreline_20190530_1919_AN_Fishscapes.Angling.20180625",150,"2019-05-30","2019-05-30","5/30/2019 16:30:00","5/30/2019 19:19:00","AT","AN","2019_fishscapes_survey",2.82,"angler_hours","0","yes","yes",NA,"Fishscapes.Angling.20180625","fishScapes2019_BOT_2019-05-30_1919.csv"
"BOT_wholeShoreline","BOT_wholeShoreline_20190530_2020_AN_Fishscapes.Angling.20180625",150,"2019-05-30","2019-05-30","5/30/2019 17:35:00","5/30/2019 20:20:00","MS","AN","2019_fishscapes_survey",2.75,"angler_hours","0","yes","yes",NA,"Fishscapes.Angling.20180625","fishScapes2019_BOT_2019-05-30_2020.csv"
"BOT_wholeShoreline","BOT_wholeShoreline_20190530_2030_AN_Fishscapes.Angling.20180625",150,"2019-05-30","2019-05-30","5/30/2019 16:30:00","5/30/2019 20:30:00","JP,FF","AN","2019_fishscapes_survey",4,"angler_hours","0","yes","yes",NA,"Fishscapes.Angling.20180625","fishScapes2019_BOT_2019-05-30_2030.csv"
"BOT_wholeShoreline","BOT_wholeShoreline_20190615_1630_AN_Fishscapes.Angling.20180625",166,"2019-06-15","2019-06-15","6/15/2019 15:20:00","6/15/2019 16:30:00","AK,FF,MS","AN","2019_fishscapes_survey",1.17,"angler_hours","0","yes","yes",NA,"Fishscapes.Angling.20180625","fishScapes2019_BOT_2019-06-15_1630.csv"
"BOT_wholeShoreline","BOT_wholeShoreline_20190615_1930_AN_Fishscapes.Angling.20180625",166,"2019-06-15","2019-06-15","6/15/2019 16:30:00","6/15/2019 19:30:00","MS,AK,FF","AN","2019_fishscapes_survey",3,"angler_hours","0","yes","yes","""NICE day","Fishscapes.Angling.20180625","fishScapes2019_BOT_2019-06-15_1930.csv"
"BOT_wholeShoreline","BOT_wholeShoreline_20190624_0950_AN_Fishscapes.Angling.20180625",175,"2019-06-24","2019-06-24","6/24/2019 5:50:00","6/24/2019 9:50:00","AT,FF,AMK","AN","2019_fishscapes_survey",3.6,"angler_hours","0","yes","yes","incoming storm stop 745 800 stop 900 909","Fishscapes.Angling.20180625","fishScapes2019_BOT_2019-06-24_0950.csv"
"BOT_wholeShoreline","BOT_wholeShoreline_20190624_1215_AN_Fishscapes.Angling.20180625",175,"2019-06-24","2019-06-24","6/24/2019 10:33:00","6/24/2019 12:15:00","JC,AK,AT","AN","2019_fishscapes_survey",1.08,"angler_hours","0","yes","yes","no storm ended because no dingers BC 1108 1145","Fishscapes.Angling.20180625","fishScapes2019_BOT_2019-06-24_1215.csv"
"BY_wholeShoreline","BY_wholeShoreline_20190603_2230_BE_FishscapesSurvey.0.5mile.20180606",154,"2019-06-03","2019-06-03","6/3/2019 22:05:00","6/3/2019 22:30:00","DS,FF,MS","BE","2019_fishscapes_survey",0.42,"electrofishing_hours","0.5","yes","yes",NA,"FishscapesSurvey.0.5mile.20180606","fishScapes2019_BY_2019-06-03_2230.csv"
"BY_wholeShoreline","BY_wholeShoreline_20190604_0025_BE_FishscapesSurvey.1.5mile.20180607",155,"2019-06-03","2019-06-04","6/3/2019 23:40:00","6/4/2019 0:25:00","DS,MS,FF","BE","2019_fishscapes_survey",0.75,"electrofishing_hours","1.34","yes","yes",NA,"FishscapesSurvey.1.5mile.20180607","fishScapes2019_BY_2019-06-04_0025.csv"
"BY_wholeShoreline","BY_wholeShoreline_20190605_2255_BE_FishscapesSurvey.hotBassLap.20180607",156,"2019-06-05","2019-06-05","6/5/2019 22:15:00","6/5/2019 22:55:00","DS,FF,MS","BE","2019_fishscapes_survey",0.67,"electrofishing_hours","0.93","yes","yes",NA,"FishscapesSurvey.hotBassLap.20180607","fishScapes2019_BY_2019-06-05_2255.csv"
"BY_wholeShoreline","BY_wholeShoreline_20190606_0000_BE_FishscapesSurvey.hotBassLap.20180607",157,"2019-06-05","2019-06-06","6/5/2019 23:30:00","6/6/2019 0:00:00","DS,MS,FF","BE","2019_fishscapes_survey",0.5,"electrofishing_hours","0.9","yes","yes",NA,"FishscapesSurvey.hotBassLap.20180607","fishScapes2019_BY_2019-06-06_0000.csv"
"BY_wholeShoreline","BY_wholeShoreline_20190606_0140_BE_FishscapesSurvey.hotBassLap.20180607",157,"2019-06-06","2019-06-06","6/6/2019 0:25:00","6/6/2019 1:40:00","DS,MS,FF","BE","2019_fishscapes_survey",1.25,"electrofishing_hours","1.87","yes","yes",NA,"FishscapesSurvey.hotBassLap.20180607","fishScapes2019_BY_2019-06-06_0140.csv"
"BY_wholeShoreline","BY_wholeShoreline_20190606_0330_BE_FishscapesSurvey.hotBassLap.20180607",157,"2019-06-06","2019-06-06","6/6/2019 2:20:00","6/6/2019 3:30:00","DS,MS,FF","BE","2019_fishscapes_survey",1.17,"electrofishing_hours","1.88","yes","yes",NA,"FishscapesSurvey.hotBassLap.20180607","fishScapes2019_BY_2019-06-06_0330.csv"
"BY_wholeShoreline","BY_wholeShoreline_20190611_0105_BE_FishscapesSurvey.hotBassLap.20180607",162,"2019-06-11","2019-06-11","6/11/2019 0:00:00","6/11/2019 1:05:00","DS,FF,MS","BE","2019_fishscapes_survey",1.08,"electrofishing_hours","0.93","yes","yes",NA,"FishscapesSurvey.hotBassLap.20180607","fishScapes2019_BY_2019-06-11_0105.csv"
"BY_wholeShoreline","BY_wholeShoreline_20190611_0235_BE_FishscapesSurvey.hotBassLap.20180607",162,"2019-06-11","2019-06-11","6/11/2019 1:30:00","6/11/2019 2:35:00","DS,MS,FF","BE","2019_fishscapes_survey",1.08,"electrofishing_hours","1.94","yes","yes",NA,"FishscapesSurvey.hotBassLap.20180607","fishScapes2019_BY_2019-06-11_0235.csv"
"BY_wholeShoreline","BY_wholeShoreline_20190611_0325_BE_FishscapesSurvey.hotBassLap.20180607",162,"2019-06-11","2019-06-11","6/11/2019 2:55:00","6/11/2019 3:25:00","DS,MS,FF","BE","2019_fishscapes_survey",0.5,"electrofishing_hours","1","yes","yes",NA,"FishscapesSurvey.hotBassLap.20180607","fishScapes2019_BY_2019-06-11_0325.csv"
"BY_wholeShoreline","BY_wholeShoreline_20190612_2250_BE_FishscapesSurvey.hotBassLap.20180607",163,"2019-06-12","2019-06-12","6/12/2019 21:55:00","6/12/2019 22:50:00","DS,MS,FF","BE","2019_fishscapes_survey",0.92,"electrofishing_hours","1.84","yes","yes",NA,"FishscapesSurvey.hotBassLap.20180607","fishScapes2019_BY_2019-06-12_2250.csv"
"BY_wholeShoreline","BY_wholeShoreline_20190613_0020_BE_FishscapesSurvey.hotBassLap.20180607",164,"2019-06-12","2019-06-13","6/12/2019 23:20:00","6/13/2019 0:20:00","DS, MS, FF","BE","2019_fishscapes_survey",1,"electrofishing_hours","1.83","yes","yes",NA,"FishscapesSurvey.hotBassLap.20180607","fishScapes2019_BY_2019-06-13_0020.csv"
"BY_wholeShoreline","BY_wholeShoreline_20190613_0130_BE_FishscapesSurvey.hotBassLap.20180607",164,"2019-06-13","2019-06-13","6/13/2019 0:35:00","6/13/2019 1:30:00","DS, MS, FF","BE","2019_fishscapes_survey",0.916666667,"electrofishing_hours","1.85","yes","yes",NA,"FishscapesSurvey.hotBassLap.20180607","fishScapes2019_BY_2019-06-13_0130.csv"
"BY_wholeShoreline","BY_wholeShoreline_20190613_0250_BE_FishscapesSurvey.hotBassLap.20180607",164,"2019-06-13","2019-06-13","6/13/2019 1:45:00","6/13/2019 2:50:00","MS, DS, FF","BE","2019_fishscapes_survey",0.916666667,"electrofishing_hours","1.85","yes","yes",NA,"FishscapesSurvey.hotBassLap.20180607","fishScapes2019_BY_2019-06-13_0250.csv"
"BY_wholeShoreline","BY_wholeShoreline_20190613_0355_BE_FishscapesSurvey.hotBassLap.20180607",164,"2019-06-13","2019-06-13","6/13/2019 3:00:00","6/13/2019 3:55:00","DS, MS, FF","BE","2019_fishscapes_survey",0.916666667,"electrofishing_hours","1.85","yes","yes",NA,"FishscapesSurvey.hotBassLap.20180607","fishScapes2019_BY_2019-06-13_0355.csv"
"BY_wholeShoreline","BY_wholeShoreline_20190622_0946_AN_Fishscapes.Angling.20180625",173,"2019-06-22","2019-06-22","6/22/2019 5:45:00","6/22/2019 9:46:00","JC,ALK,DS","AN","2019_fishscapes_survey",4.02,"angler_hours","0","yes","yes",NA,"Fishscapes.Angling.20180625","fishScapes2019_BY_2019-06-22_0946.csv"
"BY_wholeShoreline","BY_wholeShoreline_20190622_1148_AN_Fishscapes.Angling.20180625",173,"2019-06-22","2019-06-22","6/22/2019 10:17:00","6/22/2019 11:48:00","JC,ALK,CI","AN","2019_fishscapes_survey",1.52,"angler_hours","0","yes","yes",NA,"Fishscapes.Angling.20180625","fishScapes2019_BY_2019-06-22_1148.csv"
