samYear,lakeID,nSamples,nHatLow,nHat,nHatHigh,CPEmi_shock,fishPerKmShoreline
2018,AR,6,1467.493835,2334.727273,5707.852611,38.35125448,695.2810584
2018,BA,4,1090.173386,1845.625,6011.115571,Inf,239.9201369
2018,FD,6,878.2108592,1872,-14224.21846,8.841201717,294.245714
2018,JS,6,408.735896,640,1473.986206,25.83333333,180.4872553
2018,LC,6,315.5405405,934,-972.9166667,4.480457579,198.9850987
2018,LH,6,129.6176292,233.3333333,1167.639598,4.35413643,99.32705789
2018,LR,6,489.5182955,918.6,7440.385019,9.8621421,126.2580423
2018,TO,5,538.7626263,1066.75,53337.5,8.838643371,174.3309509
2018,WC,7,282.4895115,674,-1746.433908,2.220324509,83.72583692
2018,WS,5,639.527027,1893,-1971.875,1.84501845,917.8754417
2019,HT,5,337.0454545,529.6429,1059.285714,8.949658,152.6788
2019,BY,6,520.0714286,766.421,1323.818182,6.653846,154.5827
2019,DY,5,907.3333333,2722,Inf,3.97878,512.6177
2019,SV,6,143.9411765,244.7,611.75,3.945372,113.7082
2019,UG,5,1280.6,3201.5,Inf,7.155123,337.711
