projectID,3,,,,,,,
lakeID,XX,,,,,,,
dataTimeSet,2200-12-11 8:00,,,,,,,
dateTimeSample,2200-12-12 8:00,,,,,,,
crew,SEJ FEJ SNJ ANJ,,,,,,,
gear,MT,,,,,,,
distanceShocked,NA,,,,,,,
effort,24,,,,,,,
effortUnits,trap_hours,,,,,,,
comments,great,,,,,,,
UseCPUE,yes,,,,,,,
dataRecorder,ANJ,,,,,,,
dataEnteredBy,SEJ,,,,,,,
metadataID,MinnowTrapSurvey.20120228,,,,,,,
useSampleMarkRecap,yes,,,,,,,
sampleGroup,2019_minnowtrap_survey,,,,,,,
trapNumber,fishNum,species,fishLength,fishWeight,clipApply,clipRecap,mortality,comment
1,,NFC,,,,,,
2,,NFC,,,,,,
3,1,LMB,3,,1,,,
4,,NFC,,,,,,
5,,NFC,,,,,,
6,1,LMB,2,,1,,,
6,2,YWP,5,,,,,
7,,NFC,,,,,,
8,1,YWP,6,,,,1,
8,2,YWP,6,,,,1,
9,,NFC,,,,,,
10,1,LMB,8,,,1,,I think this was a recap
