projectID,3,,,,,,,
lakeID,XX,,,,,,,
dataTimeSet,2200-12-11 8:00,,,,,,,
dateTimeSample,2200-12-12 8:00,,,,,,,
crew,SEJ FEJ SNJ ANJ,,,,,,,
gear,MT,,,,,,,
distanceShocked,NA,,,,,,,
effort,24,,,,,,,
effortUnits,trap_hours,,,,,,,
comments,great,,,,,,,
UseCPUE,yes,,,,,,,
dataRecorder,ANJ,,,,,,,
dataEnteredBy,SEJ,,,,,,,
metadataID,MinnowTrapSurvey.20120228,,,,,,,
useSampleMarkRecap,yes,,,,,,,
sampleGroup,2019_minnowtrap_survey,,,,,,,
trapNumber,fishNum,species,fishLength,fishWeight,clipApply,clipRecap,mortality,comment
