projectID,3,,,,,,,
lakeID,XX,,,,,,,
dateTimeSet,12/11/00 8:00,,,,,,,
dateTimeSample,12/12/00 8:00,,,,,,,
crew,SEJ FEJ SNJ ANJ,,,,,,,
gear,MT,,,,,,,
distanceShocked,NA,,,,,,,
effort,24,,,,,,,
effortUnits,trap_hours,,,,,,,
comments,great,,,,,,,
useCPUE,yes,,,,,,,
dataRecorder,ANJ,,,,,,,
dataEnteredBy,SEJ,,,,,,,
metadataID,MinnowTrapSurvey.20120228,,,,,,,
useSampleMarkRecap,yes,,,,,,,
sampleGroup,2019_minnowtrap_survey,,,,,,,
trapNumber,fishNum,species,fishLength,fishWeight,clipApply,clipRecapture,mortality,comment
